value,label
130.11,Autolavado
1040.02,"Bares y Cantinas"
470.02,Bodega
870.02,Bodega
60.02,Bodega
1140.02,Bodega
10.02,Bodega
70.02,Bodega
630.02,Bodega
680.02,Bodega
90.02,Bodega
1120.02,Bodega
840.02,Bodega
890.02,Bodega
810.02,Bodega
540.04,Bodega
340.02,Bodega
910.02,Bodega
650.02,Bodega
360.02,Bodega
830.02,Bodega
430.02,Bodega
1110.01,Bodega
590.02,Bodega
1070.02,Bodega
740.02,Bodega
640.02,Bodega
260.02,Bodega
750.02,Bodega
570.02,Bodega
30.02,Bodega
270.02,Bodega
960.02,Bodega
310.02,Bodega
780.02,Bodega
550.02,Bodega
590.05,"Bodega con venta de solventes"
560.02,"Bodega de artículos eléctricos"
450.07,"Bodega de Frutas y/o Legumbres"
310.05,"Bodega de pescados y mariscos, salchichonería"
260.05,"Bodega de Productos Naturistas"
1050.02,"Bodega de Ropa"
1110.07,"Bodega de Sombreros"
490.02,"Bodega (Excluye Cuero Crudo)"
90.01,"Bodega y tienda"
60.01,"Bodega y tienda"
70.01,"Bodega y tienda"
260.01,"Bodega y tienda"
270.01,"Bodega y tienda"
360.01,"Bodega y tienda"
10.01,"Bodega y Tienda"
470.01,"Bodega y Tienda"
890.01,"Bodega y Tienda"
870.01,"Bodega y Tienda"
1120.01,"Bodega y Tienda"
650.01,"Bodega y Tienda"
630.01,"Bodega y Tienda"
1140.01,"Bodega y Tienda"
680.01,"Bodega y Tienda"
640.01,"Bodega y Tienda"
30.01,"Bodega y Tienda"
450.01,"Bodega y Tienda"
430.01,"Bodega y Tienda"
840.01,"Bodega y Tienda"
910.01,"Bodega y Tienda"
830.01,"Bodega y Tienda"
540.03,"Bodega y Tienda"
340.01,"Bodega y Tienda"
930.01,"Bodega y Tienda"
550.01,"Bodega y Tienda"
810.01,"Bodega y Tienda"
960.01,"Bodega y Tienda"
310.01,"Bodega y Tienda"
780.01,"Bodega y Tienda"
570.01,"Bodega y Tienda"
1050.01,"Bodega y Tienda"
750.01,"Bodega y Tienda"
1070.01,"Bodega y Tienda"
740.01,"Bodega y Tienda"
590.01,"Bodega y Tienda"
720.01,"Bodega y Tienda"
590.04,"Bodega y Tienda con venta de solventes"
560.01,"Bodega y Tienda de artículos eléctricos"
450.06,"Bodega y Tienda de Frutas y/o Legumbres"
310.04,"Bodega y Tienda de pescados y mariscos, salchichonería"
260.04,"Bodega y Tienda de Productos Naturistas"
1090.05,"Bodega y tienda de telefonos y sus accesorios"
490.01,"Bodega y Tienda (Excluye Cuero Crudo)"
1050.04,Bonetería
690.03,"Campos de Turistas (se excluyen campos de Golf)"
520.01,"Centros Deportivos"
830.09,Cerrajería
570.06,"Ciber cafes"
510.02,"Con Armería (Se excluyen cartuchos, municiones y pólvora)"
1150.01,"Condominio Habitacional, Comercial y de Oficinas"
5.02,Condominios
1110.02,Confecciones
1.06,"Consultorio Dental"
1.05,"Consultorio Medico"
1.01,"Escuelas (no correccionales)"
570.05,"Establecimientos de videojuegos"
240.01,"Establecimientos Públicos"
230.01,"Establecimientos Públicos"
640.04,"Estudio de Fotografía"
790.02,"Expendios de Libros"
790.03,"Expendios de Periodicos y Revistas"
790.01,"Expendios y Librerías"
1140.04,"Fábrica de"
680.04,"Fábrica de"
1110.04,"Fábrica de hilados y tejidos con equipos totalmente cerrados que eviten la dispersión de polvos y pelusas"
1110.05,"Fábrica de hilados y tejidos con rompedoras y batientes comunicados Se incluyen todos los productos de fibras naturales o artificiales excepto fibras duras"
1110.03,"Fábrica de hilados y tejidos sin rompedoras y batientes"
1110.08,"Fabrica de Sombreros"
1140.05,"Fábrica de Zapato de Piel y Tela"
1140.06,"Fábrica de Zapato de Sintético"
910.04,"Fábrica sin fuego abierto"
550.04,"Fábrica sin fuego abierto"
830.04,"Fábrica sin fundición ni carpintería"
1040.04,Hamburguesas
1.03,Hospital
1.02,"Hospital, laboratorio clinico y consultorios medicos"
690.01,"Hoteles, Campos de Turistas y Moteles (se excluyen campos de Golf)"
710.02,Iglesia
710.01,"Iglesias, templos y velatorios"
720.02,Imprenta
760.01,Laboratorios
770.02,Lavanderia
770.01,"Lavanderías, Planchadurías y Tintorerías"
720.03,Litografia
1.14,"Medicos, Muebles e Instrumental"
1050.05,Mercería
1040.06,Merendero
690.04,"Moteles (se excluyen campos de Golf)"
1.17,"Oficina de agente de seguros y/o fianzas"
1.15,Oficinas
1.16,"Oficinas Administrativas"
1040.05,Ostioneria
950.01,"Peluquerías y/o Salones de Belleza"
1040.03,Pizzeria
770.03,Planchaduria
1020.01,"Planta de"
1040.07,"Preparacion de comida rapida"
130.03,"Refacciones, Bodega o tienda"
1040.01,Restaurante
130.01,"Sala de exhibición, patios, bodega o tienda"
1.04,Sanatorio
510.01,"Sin Armería"
970.01,"Taller Artístico"
130.09,"Talleres de mantenimiento o reparación"
710.03,"Templo Religioso"
640.03,Tienda
780.03,Tienda
750.03,Tienda
800.03,Tienda
550.03,Tienda
540.05,Tienda
810.03,Tienda
570.03,Tienda
740.03,Tienda
830.03,Tienda
840.03,Tienda
470.03,Tienda
870.03,Tienda
450.03,Tienda
430.03,Tienda
890.03,Tienda
360.03,Tienda
340.03,Tienda
910.03,Tienda
590.03,Tienda
310.03,Tienda
280.03,Tienda
960.03,Tienda
270.03,Tienda
260.03,Tienda
10.03,Tienda
1070.03,Tienda
680.03,Tienda
90.03,Tienda
1120.03,Tienda
70.03,Tienda
60.03,Tienda
1140.03,Tienda
630.03,Tienda
650.03,Tienda
590.06,"Tienda con venta de solventes"
560.03,"Tienda de artículos eléctricos"
450.08,"Tienda de Frutas y/o Legumbres"
310.06,"Tienda de pescados y mariscos, salchichonería"
260.06,"Tienda de Productos Naturistas"
1050.03,"Tienda de Ropa"
1110.06,"Tienda de Sombreros"
1050.06,"Tienda de telas"
490.03,"Tienda (Excluye Cuero Crudo)"
770.04,Tintoreria
710.04,Velatorios
710.05,"Venta de articulos religiosos"
870.04,"Venta de Cocinas Integrales"
110.05,"Veterinarias Excluyendo Animales"
